City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,smara,26.7384,-11.6719,25.82,24,0,12.57,EH,2024-04-08
1,waitangi,-43.9535,-176.5597,12.68,83,68,0.89,NZ,2024-04-08
2,port-aux-francais,-49.35,70.2167,6.81,86,41,12.63,TF,2024-04-08
3,kaspiyskiy,45.3929,47.3707,13.1,58,0,4.54,RU,2024-04-08
4,edinburgh of the seven seas,-37.0676,-12.3116,18.51,92,100,9.07,SH,2024-04-08
5,yellowknife,62.456,-114.3525,-0.88,86,75,3.09,CA,2024-04-08
6,thompson,55.7435,-97.8558,7.09,42,20,1.03,CA,2024-04-08
7,ta`u,-14.2336,-169.5144,29.04,79,65,6.43,AS,2024-04-08
8,wailua homesteads,22.0669,-159.378,21.44,87,20,8.75,US,2024-04-08
9,bardai,11.65,7.2333,38.25,7,100,3.67,NG,2024-04-08
10,fort st. john,56.2499,-120.8529,1.94,69,75,5.14,CA,2024-04-08
11,bethel,41.3712,-73.414,16.42,38,0,1.54,US,2024-04-08
12,kolonia town,6.964,158.206,27.0,89,100,2.06,FM,2024-04-08
13,vernon,50.2581,-119.2691,7.56,67,100,1.33,CA,2024-04-08
14,san patricio,28.017,-97.5169,23.97,77,93,4.06,US,2024-04-08
15,grytviken,-54.2811,-36.5092,2.76,84,90,4.11,GS,2024-04-08
16,oppdal,62.5943,9.6912,3.91,93,49,4.35,NO,2024-04-08
17,kalmunai,7.4167,81.8167,27.59,71,100,4.34,LK,2024-04-08
18,papatowai,-46.5619,169.4708,12.33,73,81,3.22,NZ,2024-04-08
19,georgetown,5.4112,100.3354,26.96,89,20,2.06,MY,2024-04-08
20,ust-nera,64.5667,143.2,-16.81,99,93,1.33,RU,2024-04-08
21,turkmenbasy,40.0222,52.9552,20.28,43,100,7.64,TM,2024-04-08
22,adamstown,-25.066,-130.1015,23.72,87,41,4.4,PN,2024-04-08
23,blackmans bay,-43.0167,147.3167,8.18,77,20,4.64,AU,2024-04-08
24,vadso,70.0744,29.7487,-2.51,86,75,6.69,NO,2024-04-08
25,khilok,51.3674,110.4676,1.64,93,100,1.52,RU,2024-04-08
26,stanley,54.868,-1.6985,14.84,75,40,2.06,GB,2024-04-08
27,lingig,8.0389,126.4125,24.66,86,86,1.2,PH,2024-04-08
28,jamestown,42.097,-79.2353,11.42,40,100,3.6,US,2024-04-08
29,kingston,17.997,-76.7936,32.31,56,27,1.46,JM,2024-04-08
30,petropavlivka,48.4564,36.4367,22.12,34,63,1.62,UA,2024-04-08
31,ribeira grande,38.5167,-28.7,17.22,94,75,4.63,PT,2024-04-08
32,tiksi,71.6872,128.8694,-9.5,81,100,10.32,RU,2024-04-08
33,saint-philippe,-21.3585,55.7679,25.77,87,63,2.36,RE,2024-04-08
34,vilyuchinsk,52.9306,158.4028,3.47,96,87,0.09,RU,2024-04-08
35,ushuaia,-54.8,-68.3,2.79,80,75,6.69,AR,2024-04-08
36,arbroath,56.5632,-2.5874,13.39,75,86,4.6,GB,2024-04-08
37,bredasdorp,-34.5322,20.0403,17.38,93,100,8.24,ZA,2024-04-08
38,albany,42.6001,-73.9662,14.59,44,86,0.89,US,2024-04-08
39,nabire,-3.3667,135.4833,24.72,97,100,1.34,ID,2024-04-08
40,gizo,-8.103,156.8419,27.54,80,100,3.15,SB,2024-04-08
41,bilibino,68.0546,166.4372,-24.17,100,74,1.74,RU,2024-04-08
42,reggane,26.7158,0.1714,40.53,4,18,5.01,DZ,2024-04-08
43,mindelo,16.8901,-24.9804,25.75,53,40,13.89,CV,2024-04-08
44,port elizabeth,-33.918,25.5701,21.72,82,55,0.89,ZA,2024-04-08
45,bulungu,-4.55,18.6,25.79,89,63,2.46,CD,2024-04-08
46,wernigerode,51.8333,10.7833,25.67,50,80,3.25,DE,2024-04-08
47,aasiaat,68.7098,-52.8699,-6.9,89,90,2.5,GL,2024-04-08
48,nizhniy kuranakh,58.8353,125.4869,-12.28,92,27,2.12,RU,2024-04-08
49,hamilton,39.1834,-84.5333,20.92,63,0,4.63,US,2024-04-08
50,constantia,44.1833,28.65,19.38,69,0,3.05,RO,2024-04-08
51,olinda,-8.0089,-34.8553,31.85,58,40,3.6,BR,2024-04-08
52,cambridge,43.3601,-80.3127,10.29,52,100,0.89,CA,2024-04-08
53,puerto natales,-51.7236,-72.4875,4.25,70,20,4.63,CL,2024-04-08
54,sao tome,0.3365,6.7273,27.21,74,100,0.99,ST,2024-04-08
55,tolanaro,-25.0319,46.9987,21.47,86,100,3.57,MG,2024-04-08
56,happy valley-goose bay,53.3168,-60.3315,0.99,76,100,3.12,CA,2024-04-08
57,okha,53.5739,142.9478,-4.86,94,32,1.79,RU,2024-04-08
58,puerto san jose,13.9256,-90.8244,30.43,60,7,1.91,GT,2024-04-08
59,wotje,9.4543,170.2367,27.04,84,97,10.07,MH,2024-04-08
60,invercargill,-46.4,168.35,12.47,74,87,3.17,NZ,2024-04-08
61,kodiak,57.79,-152.4072,-1.27,86,40,0.0,US,2024-04-08
62,zaigrayevo,51.8336,108.2703,1.26,92,100,2.8,RU,2024-04-08
63,canacona,14.9959,74.0506,27.41,67,7,4.47,IN,2024-04-08
64,prince rupert,54.3161,-130.3201,5.05,87,100,4.63,CA,2024-04-08
65,arteche,12.2645,125.4048,25.48,90,13,1.98,PH,2024-04-08
66,ancud,-41.8697,-73.8203,11.85,68,53,2.53,CL,2024-04-08
67,mossel bay,-34.1831,22.146,16.96,92,86,2.4,ZA,2024-04-08
68,longyearbyen,78.2186,15.6401,-14.09,72,20,1.54,SJ,2024-04-08
69,port mathurin,-19.6833,63.4167,26.81,81,16,4.67,MU,2024-04-08
70,iranshahr,27.2025,60.6848,33.19,10,0,5.14,IR,2024-04-08
71,iqaluit,63.7506,-68.5145,-16.28,65,8,9.39,CA,2024-04-08
72,kismayo,-0.3582,42.5454,29.91,71,78,4.4,SO,2024-04-08
73,tvoroyri,61.5556,-6.8111,7.53,91,94,14.06,FO,2024-04-08
74,olonkinbyen,70.9221,-8.7187,-3.48,75,100,9.03,SJ,2024-04-08
75,punta arenas,-53.15,-70.9167,4.06,65,0,8.75,CL,2024-04-08
76,semnan,35.5729,53.3971,20.77,35,61,4.49,IR,2024-04-08
77,papao,-17.75,-149.55,25.82,81,100,4.54,PF,2024-04-08
78,puerto rico,-26.796,-55.024,28.45,63,88,0.75,AR,2024-04-08
79,zouerate,22.7187,-12.4521,28.31,12,0,9.31,MR,2024-04-08
80,kolwezi,-10.7148,25.4667,21.05,90,100,0.83,CD,2024-04-08
81,namdrik,5.5994,168.1028,28.01,83,99,9.77,MH,2024-04-08
82,laghouat,33.8,2.8651,32.05,7,100,8.65,DZ,2024-04-08
83,badger,64.8,-147.5333,-3.05,84,75,2.57,US,2024-04-08
